Name,Start,End,Tclocation
Coca cola Rd 1,"6.721572845167075, 3.164169116129971","6.6981014324292465, 3.211258961482499",138
Coca cola Rd 1,"6.6981656242064735, 3.2112506786725326","6.721558350249634, 3.16413391418762",138
idi Ofe,"6.656821978267042, 3.0792454655606063","6.593740097574926, 2.9493047428324135",149
Idi Ofe,"6.593780476273504, 2.9493026721299214","6.6568437206432, 3.07921647572573",149
ikorodu Rd 1,"6.593134880481125, 3.382783759641161","6.519941853581149, 3.3674259527178925",89
Ikorodu rd 2,"6.519946419940154, 3.3675492444110255","6.593123464583617, 3.382870520462256",89
ikorodu Rd 1,"6.593134880481125, 3.382783759641161","6.519941853581149, 3.3674259527178925",85
Ikorodu rd 2,"6.519946419940154, 3.3675492444110255","6.593123464583617, 3.382870520462256",85
ikorodu Rd 1,"6.593134880481125, 3.382783759641161","6.519941853581149, 3.3674259527178925",82
Ikorodu rd 2,"6.519946419940154, 3.3675492444110255","6.593123464583617, 3.382870520462256",82
Apapa rd 3,"6.519711252451405, 3.367267271742474","6.476636787958075, 3.3645685535705714",98
Apapa 4,"6.476645920676083, 3.3647420752127597","6.519729517887428, 3.367459058820682",98
Apapa rd 3,"6.519711252451405, 3.367267271742474","6.476636787958075, 3.3645685535705714",94
Apapa 4,"6.476645920676083, 3.3647420752127597","6.519729517887428, 3.367459058820682",94
Lasu-Isheri Road 3,"6.538971752937972, 3.221885662177785","6.576643536018772, 3.280074432907674",113
Lasu-Isheri Road 4,"6.576721994862555, 3.28012750800788","6.539091748816701, 3.2218348946906312",113
Lasu-Isheri Road 3,"6.538971752937972, 3.221885662177785","6.576643536018772, 3.280074432907674",113
Lasu-Isheri Road 4,"6.576721994862555, 3.28012750800788","6.539091748816701, 3.2218348946906312",113
Egbeda-Idimu Rd 1,"6.609808550808198, 3.29401818477694","6.577275821995146, 3.2818801401211966",114
Egbeda-Idimu Road,"6.577245823025463, 3.2819747522563456","6.6097618216438905, 3.2941110662023",114
Egbeda-Idimu Rd 1,"6.609808550808198, 3.29401818477694","6.577275821995146, 3.2818801401211966",122
Egbeda-Idimu Road,"6.577245823025463, 3.2819747522563456","6.6097618216438905, 3.2941110662023",122
Egan > Ikotun,"6.548328546962297, 3.232871054113848","6.546403997676577, 3.2653484002136457",111
Ikotun > Egan,"6.546478995100781, 3.2653599382789116","6.5483746992233485, 3.2328433627572224",111
Idimu-Ikotun rd1,"6.518056125134093, 3.2569057094097333","6.567231070829594, 3.27864082829887",112
Idimu-Ikotun Rd 2,"6.567251839347068, 3.2785369857115114","6.518088720168468, 3.2568800372145272",112
Idimu-Ikotun rd1,"6.518056125134093, 3.2569057094097333","6.567231070829594, 3.27864082829887",107
Idimu-Ikotun Rd 2,"6.567251839347068, 3.2785369857115114","6.518088720168468, 3.2568800372145272",107
Isheri-Osun Rd 1,"6.516519543292825, 3.259464563833242","6.529825240153094, 3.307825210572862",105
Isheri-Osun Rd 2,"6.529924467514349, 3.307818287733706","6.5165956945235575, 3.2594230267982987",105
Ikotun Ejigbo Rd 1,"6.5516367987245925, 3.3014054310610272","6.547914618871037, 3.2683442588589675",108
Idimu-Ejigbo Rd 2,"6.547826929575045, 3.26834656647202","6.551623241497914, 3.3014403337084457",108
Ikotun Ejigbo Rd 1,"6.5516367987245925, 3.3014054310610272","6.547914618871037, 3.2683442588589675",109
Idimu-Ejigbo Rd 2,"6.547826929575045, 3.26834656647202","6.551623241497914, 3.3014403337084457",109
Ikorodu Rd 1 (Odogun),"6.594484269430348, 3.383862791359983","6.609316452324793, 3.432464583663583",79
Ikorodu Rd 2 (Odogun),"6.60960028873024, 3.4323365111391775","6.594532729304447, 3.383748564513891",79
Lagos-Ibadan Expressway (Olowoira) 1,"6.595726919059077, 3.3814536433332556","6.639683486288149, 3.3711732271847126",80
Lagos-Ibadan Expressway (Olowoira) 2,"6.639605604347632, 3.37074747257654","6.5956957662828675, 3.381100578536234",80
Lagos-Ibadan Expressway (Olowoira) 1,"6.595726919059077, 3.3814536433332556","6.639683486288149, 3.3711732271847126",71
Lagos-Ibadan Expressway (Olowoira) 2,"6.639605604347632, 3.37074747257654","6.5956957662828675, 3.381100578536234",71
Airport Road 1,"6.572357144773926, 3.3660330191104406","6.57335922574194, 3.3339923887808145",116
Airport Road 2,"6.573416339164988, 3.334091039238806","6.572455795231917, 3.365306120998926",116
Airport Road 1,"6.572357144773926, 3.3660330191104406","6.57335922574194, 3.3339923887808145",84
Airport Road 2,"6.573416339164988, 3.334091039238806","6.572455795231917, 3.365306120998926",84
Allen Av 1,"6.586500505172227, 3.3637380979298035","6.606729041189761, 3.3494182051329946",83
Allen Av 2,"6.606658947443292, 3.349322150739688","6.586674441506049, 3.3634135898443063",83
Obafemi Awolowo Way 1,"6.597390996521498, 3.3415443409464975","6.618621613507051, 3.364070394209352",70
Obafemi Awolowo Way 2,"6.618657958412624, 3.364065202079983","6.597442917815174, 3.341487227523448",70
Oba Akran Av 1,"6.622594890505869, 3.325341003221463","6.597014567142319, 3.340960226392602",118
Oba Akran Av 2,"6.59703403762745, 3.3410458965271728","6.622602678699926, 3.3254149910649575",118
Ijaiye-Isheri Rd 1,"6.626936808689827, 3.337011612008275","6.634651014898259, 3.3533590313232677",119
Ijaiye-Isheri Rd 2,"6.634639332607179, 3.353214949733307","6.627096466667889, 3.337013559056788",119
Agege Motor Road 1,"6.587341630129842, 3.3390326483647526","6.646594210476893, 3.3152708683123238",120
Agege Motor Road 2,"6.646648727835257, 3.3150917398491297","6.587158607569625, 3.3388846726777666",120
Agege Motor Road 1,"6.587341630129842, 3.3390326483647526","6.646594210476893, 3.3152708683123238",124
Agege Motor Road 2,"6.646648727835257, 3.3150917398491297","6.587158607569625, 3.3388846726777666",124
Agege Motor Road 1,"6.587341630129842, 3.3390326483647526","6.646594210476893, 3.3152708683123238",117
Agege Motor Road 2,"6.646648727835257, 3.3150917398491297","6.587158607569625, 3.3388846726777666",117
Lagos-Abeokuta Expressway 1,"6.624787267131508, 3.2980823240397252","6.6016524367002605, 3.3329734333923584",121
Lagos-Abeokuta Expressway 2,"6.602201504380921, 3.3328098813172677","6.624850546208179, 3.298230299726715",121
Ipaja Rd 1,"6.610376187562667, 3.2944744431451745","6.624947655252755, 3.3158639879655905",123
Ipaja Rd 2,"6.625013368140069, 3.315788053073584","6.61047548703683, 3.2944393962719403",123
Command Secondary School Rd 1,"6.646892839042565, 3.29558280051119","6.611663430010819, 3.255563287065912",125
